"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0056","Llevant-L.Planes","","","ST07","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0057","Francesc Macià","","","ST07","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0058","Sant Feliu|C.C.","","","ST07","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0059","Francesc Macià","","","ST07","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0060","Llevant-L.Planes","","","ST07","997-10","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0184","Francesc Macià","","","ST08","997-9","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0221","Llevant-L.Planes","","","ST08","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0222","Francesc Macià","","","ST08","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0223","Llevant-L.Planes","","","ST08","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0224","Francesc Macià","","","ST08","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0225","Llevant-L.Planes","","","ST08","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0226","Francesc Macià","","","ST08","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0227","Llevant-L.Planes","","","ST08","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0228","Francesc Macià","","","ST08","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0357","Sant Feliu|C.C.","","","ST08","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0358","Francesc Macià","","","ST08","997-12","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0359","Sant Feliu|C.C.","","","ST08","997-4","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0360","Francesc Macià","","","ST08","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0062","Sant Feliu|C.C.","","","ST08","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0063","Francesc Macià","","","ST08","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0064","Llevant-L.Planes","","","ST08","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0065","Francesc Macià","","","ST08","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0066","Sant Feliu|C.C.","","","ST08","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0067","Francesc Macià","","","ST08","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0068","Llevant-L.Planes","","","ST08","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0069","Francesc Macià","","","ST08","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0070","Llevant-L.Planes","","","ST08","997-1","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0334","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0335","Francesc Macià","","","ST09","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0336","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0337","Francesc Macià","","","ST09","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0338","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0339","Francesc Macià","","","ST09","997-12","",""
"997-2","997-merged_9a48a577e152c3639c27","997-2516_0263","Llevant-L.Planes","","","ST09","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0264","Francesc Macià","","","ST09","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0363","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0364","Francesc Macià","","","ST09","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0267","Llevant-L.Planes","","","ST09","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0268","Francesc Macià","","","ST09","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0072","Llevant-L.Planes","","","ST09","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0073","Francesc Macià","","","ST09","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0074","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0075","Francesc Macià","","","ST09","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0076","Llevant-L.Planes","","","ST09","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0077","Francesc Macià","","","ST09","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0078","Sant Feliu|C.C.","","","ST09","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0079","Francesc Macià","","","ST09","997-12","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0080","Bon Viatge","","","ST09","997-8","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0245","Francesc Macià","","","ST10","997-2","",""
